Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_0402_1005Metric,102.271619,-73.777983,-90.0,top
C3,100pF,C_0402_1005Metric,97.2125,-73.3975,0.0,top
C4,100pF,C_0402_1005Metric,97.2125,-91.6375,0.0,top
C5,100nF,C_0402_1005Metric,102.271619,-92.017983,-90.0,top
C6,100pF,C_0402_1005Metric,97.2125,-109.8775,0.0,top
C7,100nF,C_0402_1005Metric,102.271619,-110.257983,-90.0,top
C8,100pF,C_0402_1005Metric,97.2125,-128.1175,0.0,top
C9,100nF,C_0402_1005Metric,102.271619,-128.497983,-90.0,top
J1,Input,Magnet Wire THT,93.427241,-67.498635,0.0,top
J10,Input,Magnet Wire THT,93.427241,-103.978635,0.0,top
J11,~,Magnet Wire THT,106.572759,-103.978635,0.0,top
J12,~,Magnet Wire THT,93.427241,-114.261365,0.0,top
J13,~,Magnet Wire THT,106.572759,-114.261365,0.0,top
J14,Input,Magnet Wire THT,93.427241,-122.218635,0.0,top
J15,~,Magnet Wire THT,106.572759,-122.218635,0.0,top
J16,~,Magnet Wire THT,93.427241,-132.501365,0.0,top
J17,~,Magnet Wire THT,106.572759,-132.501365,0.0,top
J2,~,Magnet Wire THT,106.572759,-77.781365,0.0,top
J3,~,Magnet Wire THT,106.572759,-67.498635,0.0,top
J4,~,Magnet Wire THT,93.427241,-77.781365,0.0,top
J5,Input,Magnet Wire THT,93.427241,-85.738635,0.0,top
J6,~,Magnet Wire THT,106.572759,-85.738635,0.0,top
J7,~,Magnet Wire THT,93.427241,-96.021365,0.0,top
J8,~,Magnet Wire THT,106.572759,-96.021365,0.0,top
J9,~,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,99.9,-59.0,0.0,bottom
Q1,MMBF201,SOT-23,99.2975,-72.2525,90.0,top
Q2,MMBF201,SOT-23,99.2975,-90.4925,90.0,top
Q3,MMBF201,SOT-23,99.2975,-108.7325,90.0,top
Q4,MMBF201,SOT-23,99.2975,-126.9725,90.0,top
R1,2.2K,R_0402_1005Metric,102.2625,-71.4975,-90.0,top
R10,1K,R_0402_1005Metric,97.3125,-125.8175,0.0,top
R11,100,R_0402_1005Metric,100.25,-129.17,0.0,top
R12,2.2K,R_0402_1005Metric,102.2625,-126.2175,-90.0,top
R2,1K,R_0402_1005Metric,97.3125,-71.0975,0.0,top
R3,1K,R_0402_1005Metric,97.3125,-89.3375,0.0,top
R4,2.2K,R_0402_1005Metric,102.2625,-89.7375,-90.0,top
R5,100,R_0402_1005Metric,100.25,-74.45,0.0,top
R6,100,R_0402_1005Metric,100.25,-92.69,0.0,top
R7,1K,R_0402_1005Metric,97.3125,-107.5775,0.0,top
R8,100,R_0402_1005Metric,100.25,-110.93,0.0,top
R9,2.2K,R_0402_1005Metric,102.2625,-107.9775,-90.0,top
