Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_0402_1005Metric,102.27373,-75.112983,-90.0,top
C3,100pF,C_0402_1005Metric,97.214611,-74.7325,0.0,top
C4,100pF,C_0402_1005Metric,97.214611,-92.0825,0.0,top
C5,100nF,C_0402_1005Metric,102.27373,-92.462983,-90.0,top
C6,100pF,C_0402_1005Metric,97.214611,-109.4325,0.0,top
C7,100nF,C_0402_1005Metric,102.27373,-109.812983,-90.0,top
C8,100pF,C_0402_1005Metric,97.214611,-126.7825,0.0,top
C9,100nF,C_0402_1005Metric,102.27373,-127.162983,-90.0,top
J1,Input,Magnet Wire THT,93.429352,-68.833635,0.0,top
J10,Input,Magnet Wire THT,93.429352,-103.533635,0.0,top
J11,~,Magnet Wire THT,106.57487,-103.533635,0.0,top
J12,~,Magnet Wire THT,93.429352,-113.816365,0.0,top
J13,~,Magnet Wire THT,106.57487,-113.816365,0.0,top
J14,Input,Magnet Wire THT,93.429352,-120.883635,0.0,top
J15,~,Magnet Wire THT,106.57487,-120.883635,0.0,top
J16,~,Magnet Wire THT,93.429352,-131.166365,0.0,top
J17,~,Magnet Wire THT,106.57487,-131.166365,0.0,top
J2,~,Magnet Wire THT,106.57487,-79.116365,0.0,top
J3,~,Magnet Wire THT,106.57487,-68.833635,0.0,top
J4,~,Magnet Wire THT,93.429352,-79.116365,0.0,top
J5,Input,Magnet Wire THT,93.429352,-86.183635,0.0,top
J6,~,Magnet Wire THT,106.57487,-86.183635,0.0,top
J7,~,Magnet Wire THT,93.429352,-96.466365,0.0,top
J8,~,Magnet Wire THT,106.57487,-96.466365,0.0,top
J9,~,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,99.95,-60.65,0.0,bottom
Q1,MMBFJ201,SOT-23,99.299611,-73.5875,90.0,top
Q2,MMBFJ201,SOT-23,99.299611,-90.9375,90.0,top
Q3,MMBFJ201,SOT-23,99.299611,-108.2875,90.0,top
Q4,MMBFJ201,SOT-23,99.299611,-125.6375,90.0,top
R1,2.2K,R_0402_1005Metric,102.264611,-72.8325,-90.0,top
R10,1K,R_0402_1005Metric,97.314611,-124.4825,0.0,top
R11,100,R_0402_1005Metric,100.252111,-127.835,0.0,top
R12,2.2K,R_0402_1005Metric,102.264611,-124.8825,-90.0,top
R2,1K,R_0402_1005Metric,97.314611,-72.4325,0.0,top
R3,1K,R_0402_1005Metric,97.314611,-89.7825,0.0,top
R4,2.2K,R_0402_1005Metric,102.264611,-90.1825,-90.0,top
R5,100,R_0402_1005Metric,100.252111,-75.785,0.0,top
R6,100,R_0402_1005Metric,100.252111,-93.135,0.0,top
R7,1K,R_0402_1005Metric,97.314611,-107.1325,0.0,top
R8,100,R_0402_1005Metric,100.252111,-110.485,0.0,top
R9,2.2K,R_0402_1005Metric,102.264611,-107.5325,-90.0,top
