Comment,Designator,Footprint,LCSC,Quantity
100K,R1,R_0402_1005Metric,C25741,1
100nF,"C17,C18,C19,C20",C_0402_1005Metric,C307331,4
100pF,"C10,C12,C14,C16",C_0402_1005Metric,C1546,4
10uF,C2,C_0603_1608Metric,C96446,1
15K,"R15,R18,R21,R24",R_0402_1005Metric,C25756,4
1K,"R13,R16,R19,R22",R_0402_1005Metric,C11702,4
2.2K,"R14,R17,R20,R23",R_0402_1005Metric,C25879,4
22uF,"C1,C11,C13,C15",C_0603_1608Metric,C59461,4
43K,R2,R_0402_1005Metric,C8329,1
OPA376,"U1,U2,U3,U4",SOT-353_SC-70-5,C42134,4
