Comment,Designator,Footprint,LCSC,Quantity
100pF,C16,C_0402_1005Metric,,1
100nF,C20,C_0402_1005Metric,,1
R,R2,R_0402_1005Metric,,1
1K,R22,R_0402_1005Metric,,1
15K,R18,R_0402_1005Metric,,1
100nF,C19,C_0402_1005Metric,,1
22uF,C11,C_0402_1005Metric,,1
15K,R15,R_0402_1005Metric,,1
100pF,C14,C_0402_1005Metric,,1
22uF,C13,C_0402_1005Metric,,1
1K,R16,R_0402_1005Metric,,1
2.2K,R14,R_0402_1005Metric,,1
1K,R13,R_0402_1005Metric,,1
15K,R24,R_0402_1005Metric,,1
OPA376,U4,SOT-353_SC-70-5,,1
22uF,C1,C_0402_1005Metric,,1
R,R1,R_0402_1005Metric,,1
2.2K,R20,R_0402_1005Metric,,1
100pF,C12,C_0402_1005Metric,,1
22uF,C15,C_0402_1005Metric,,1
OPA376,U3,SOT-353_SC-70-5,,1
2.2K,R17,R_0402_1005Metric,,1
100pF,C10,C_0402_1005Metric,,1
100nF,C17,C_0402_1005Metric,,1
C,C2,C_0402_1005Metric,,1
15K,R21,R_0402_1005Metric,,1
1K,R19,R_0402_1005Metric,,1
OPA376,U2,SOT-353_SC-70-5,,1
OPA376,U1,SOT-353_SC-70-5,,1
2.2K,R23,R_0402_1005Metric,,1
100nF,C18,C_0402_1005Metric,,1
